t,mission_id,point_idx,x,y
1.0,1,0,3.0,0.0
1.0,1,1,5.0,1.0
1.0,1,2,5.0,4.0
1.0,1,3,3.0,5.0
1.0,1,4,1.0,5.0
1.0,1,5,0.0,4.0
1.0,1,6,0.0,1.0
1.0,1,7,1.0,0.0
2.0,2,0,3.0,0.0
2.0,2,1,5.0,1.0
2.0,2,2,5.0,4.0
2.0,2,3,3.0,5.0
2.0,2,4,1.0,5.0
2.0,2,5,0.0,4.0
2.0,2,6,0.0,1.0
2.0,2,7,1.0,0.0
3.0,3,0,3.0,0.0
3.0,3,1,5.0,1.0
3.0,3,2,5.0,4.0
3.0,3,3,3.0,5.0
3.0,3,4,1.0,5.0
3.0,3,5,0.0,4.0
3.0,3,6,0.0,1.0
3.0,3,7,1.0,0.0
4.0,4,0,3.0,0.0
4.0,4,1,5.0,1.0
4.0,4,2,5.0,4.0
4.0,4,3,3.0,5.0
4.0,4,4,1.0,5.0
4.0,4,5,0.0,4.0
4.0,4,6,0.0,1.0
4.0,4,7,1.0,0.0
5.0,5,0,3.0,0.0
5.0,5,1,5.0,1.0
5.0,5,2,5.0,4.0
5.0,5,3,3.0,5.0
5.0,5,4,1.0,5.0
5.0,5,5,0.0,4.0
5.0,5,6,0.0,1.0
5.0,5,7,1.0,0.0
6.0,6,0,3.0,0.0
6.0,6,1,5.0,1.0
6.0,6,2,5.0,4.0
6.0,6,3,3.0,5.0
6.0,6,4,1.0,5.0
6.0,6,5,0.0,4.0
6.0,6,6,0.0,1.0
6.0,6,7,1.0,0.0
7.0,7,0,3.0,0.0
7.0,7,1,5.0,1.0
7.0,7,2,5.0,4.0
7.0,7,3,3.0,5.0
7.0,7,4,1.0,5.0
7.0,7,5,0.0,4.0
7.0,7,6,0.0,1.0
7.0,7,7,1.0,0.0
8.0,8,0,3.0,0.0
8.0,8,1,5.0,1.0
8.0,8,2,5.0,4.0
8.0,8,3,3.0,5.0
8.0,8,4,1.0,5.0
8.0,8,5,0.0,4.0
8.0,8,6,0.0,1.0
8.0,8,7,1.0,0.0
9.0,9,0,3.0,0.0
9.0,9,1,5.0,1.0
9.0,9,2,5.0,4.0
9.0,9,3,3.0,5.0
9.0,9,4,1.0,5.0
9.0,9,5,0.0,4.0
9.0,9,6,0.0,1.0
9.0,9,7,1.0,0.0
10.0,10,0,3.0,0.0
10.0,10,1,5.0,1.0
10.0,10,2,5.0,4.0
10.0,10,3,3.0,5.0
10.0,10,4,1.0,5.0
10.0,10,5,0.0,4.0
10.0,10,6,0.0,1.0
10.0,10,7,1.0,0.0
11.0,11,0,3.0,0.0
11.0,11,1,5.0,1.0
11.0,11,2,5.0,4.0
11.0,11,3,3.0,5.0
11.0,11,4,1.0,5.0
11.0,11,5,0.0,4.0
11.0,11,6,0.0,1.0
11.0,11,7,1.0,0.0
12.0,12,0,3.0,0.0
12.0,12,1,5.0,1.0
12.0,12,2,5.0,4.0
12.0,12,3,3.0,5.0
12.0,12,4,1.0,5.0
12.0,12,5,0.0,4.0
12.0,12,6,0.0,1.0
12.0,12,7,1.0,0.0
13.0,13,0,3.0,0.0
13.0,13,1,5.0,1.0
13.0,13,2,5.0,4.0
13.0,13,3,3.0,5.0
13.0,13,4,1.0,5.0
13.0,13,5,0.0,4.0
13.0,13,6,0.0,1.0
13.0,13,7,1.0,0.0
14.0,14,0,3.0,0.0
14.0,14,1,5.0,1.0
14.0,14,2,5.0,4.0
14.0,14,3,3.0,5.0
14.0,14,4,1.0,5.0
14.0,14,5,0.0,4.0
14.0,14,6,0.0,1.0
14.0,14,7,1.0,0.0
15.0,15,0,3.0,0.0
15.0,15,1,5.0,1.0
15.0,15,2,5.0,4.0
15.0,15,3,3.0,5.0
15.0,15,4,1.0,5.0
15.0,15,5,0.0,4.0
15.0,15,6,0.0,1.0
15.0,15,7,1.0,0.0
16.0,16,0,3.0,0.0
16.0,16,1,5.0,1.0
16.0,16,2,5.0,4.0
16.0,16,3,3.0,5.0
16.0,16,4,1.0,5.0
16.0,16,5,0.0,4.0
