t,x,y,yaw,u,w
0.051000000000000004,0.0,0.0,0.0,0.0,0.0
0.101,0.0,0.0,0.0,0.0,0.0
0.15100000000000002,0.0,0.0,0.0,0.0,0.0
0.201,0.0,0.0,0.0,0.0,0.0
0.251,0.0,0.0,0.0,0.0,0.0
0.30100000000000005,0.0,0.0,0.0,0.0,0.0
0.35100000000000003,0.0,0.0,0.0,0.0,0.0
0.401,0.0,0.0,0.0,0.0,0.0
0.451,0.0,0.0,0.0,0.0,0.0
0.501,0.0,0.0,0.0,0.0,0.0
0.551,0.0,0.0,0.0,0.0,0.0
0.6010000000000001,0.0,0.0,0.0,0.0,0.0
0.651,0.0,0.0,0.0,0.0,0.0
0.7010000000000001,0.0,0.0,0.0,0.0,0.0
0.751,0.0,0.0,0.0,0.0,0.0
0.801,0.0,0.0,0.0,0.0,0.0
0.8510000000000001,0.0,0.0,0.0,0.0,0.0
0.901,0.0,0.0,0.0,0.0,0.0
0.9510000000000001,0.0,0.0,0.0,0.0,0.0
1.001,-1.461651316109839e-29,-1.8333488126026924e-29,-3.4387858507107813e-29,0.0,0.0
1.051,-1.4620600940400323e-29,-1.8431724531040812e-29,-3.435998770733938e-29,-6.658986671857431e-31,-1.0857350225286897e-29
1.101,-1.4611422010279098e-29,-1.85236065707411e-29,-3.4387819312844097e-29,0.0,0.0
1.151,-1.4615592197845408e-29,-1.86218570666509e-29,-3.435995196092669e-29,-6.930930681129076e-31,-1.0859083586550439e-29
1.201,-1.4609812934225523e-29,-1.8713733590203323e-29,-3.4387806213827746e-29,0.0,0.0
1.251,-1.4615154199547883e-29,-1.8817076617714626e-29,-3.43599599734821e-29,-7.181657936085365e-31,-1.0858021412881584e-29
1.3010000000000002,-1.461037554850059e-29,-1.8914046697349467e-29,-3.4387834655928625e-29,0.0,0.0
1.351,-1.461820535379018e-29,-1.901229971306011e-29,-3.435999157437603e-29,-7.441766110618624e-31,-1.0859215664020832e-29
1.401,-1.461465976834274e-29,-1.9109260054938092e-29,-3.4387843337745456e-29,0.0,0.0
1.451,-1.4621490850615576e-29,-1.9212610842576205e-29,-3.435998079584121e-29,-7.700982915336638e-31,-1.0860233722031255e-29
1.501,-1.4615453755094667e-29,-1.9304481109720674e-29,-3.438783669076573e-29,0.0,0.0
1.5510000000000002,-1.4621051986280806e-29,-1.9407824438302844e-29,-3.435999191331625e-29,-7.960819824895937e-31,-1.0860093694368995e-29
1.601,-1.461252352521682e-29,-1.9494602528216273e-29,-3.4387834488739806e-29,0.0,0.0
1.651,-1.4620616197471184e-29,-1.9592852913039966e-29,-3.435999777231827e-29,-8.239826068230665e-31,-1.0861147272374065e-29
1.701,-1.4614401582507936e-29,-1.9684704574655422e-29,-3.438784499491409e-29,0.0,0.0
1.751,-1.462258566732857e-29,-1.97829792431637e-29,-3.436000556927885e-29,-8.509136445225153e-31,-1.0861413446694456e-29
1.8010000000000002,-1.461628248151939e-29,-1.9874849372162346e-29,-3.438785414354771e-29,0.0,0.0
1.851,-1.4621063562541622e-29,-1.9973112327567383e-29,-3.435999519227223e-29,-8.76850104988083e-31,-1.0862209471951199e-29
1.901,-1.4613592247652895e-29,-2.0070081915183826e-29,-3.438782092055788e-29,0.0,0.0
1.951,-1.4618455858773237e-29,-2.0168360238406957e-29,-3.43599594648591e-29,-8.997589099870904e-31,-1.0861931645746081e-29
2.001,-1.460958277226375e-29,-2.0265303500934102e-29,-3.438780426217651e-29,0.0,0.0
2.051,0.034312232654282696,-5.72657927037379e-09,-9.864446125229402e-06,1.1414544216918234,-2.9832062854460215e-17
2.101,0.09123795374475381,-3.4359476196692865e-08,-1.9728892251846722e-05,1.161054422261339,-0.01455404124440654
2.151,0.11855735365908054,-6.681994778287504e-08,-3.99983103354571e-05,0.14804371582034473,-2.983499378034469e-17
2.201,0.12581253945597776,-8.15164708972733e-08,-5.5335505365301206e-05,0.1676437164512724,-0.0172904156875211
2.251,0.16345517331212212,-2.493990241503604e-07,-8.117931461656199e-05,1.1544253177952493,-2.98375613236054e-17
2.301,0.22102943920776455,-4.5068124370624884e-07,-9.935452637426657e-05,1.1740253295020302,-0.018709424025373705
2.351,0.2489847251230419,-6.59489315616659e-07,-0.0001562252878363802,0.1605926517830819,-2.9843812191033067e-17
2.401,0.25686735771807606,-7.8069993045088e-07,-0.00020399647747650418,0.18019265939931972,-0.0263755244642849
2.451,0.2951241241586694,-1.9954972548124496e-06,-0.00027854133906718046,1.1665303299718386,-2.9852821317188625e-17
2.501,0.35330364413967286,-3.3773180718452544e-06,-0.00032920102158491744,1.1861304574660758,-0.027097543476795327
